Date,Open,High,Low,Close,Volume
2023-01-02,21303.514416327504,21303.514416327504,20600.77761000491,20702.529296875,4561
2023-01-03,20601.74301723003,20865.510018151534,20504.947477045265,20795.236328125,10545
2023-01-04,20985.83993257634,21322.76855534706,20795.283482142117,21226.888671875,3162
2023-01-05,21265.010192227703,21563.43269832053,21185.15885758958,21551.880859375,3679
2023-01-06,21551.879352061937,21745.37264086685,21336.24504015994,21461.775390625,1598
2023-01-09,21539.365265823308,21990.03173567849,21539.365265823308,21911.9609375,2102
2023-01-10,21972.558878354204,21972.558878354204,21517.223923284695,21721.451171875,2110
2023-01-11,21938.675184532047,22014.916567758813,21208.21316648277,21342.83984375,1563
2023-01-12,21535.51617391989,21691.274224143937,21260.197340352275,21501.24609375,3091
2023-01-13,21501.246527364343,21638.4246202825,21180.15277253461,21560.16015625,2505
2023-01-16,21472.125780762366,21989.215356429755,21472.125780762366,21673.3203125,2560
2023-01-17,21673.31934490779,21852.22806960868,21573.058636120288,21766.984375,1914
2023-01-18,21708.84193409689,21876.294711842533,21677.074377419627,21784.361328125,2187
2023-01-19,21784.84212571042,21948.493171285798,21659.69720850572,21904.115234375,1138
2023-01-20,21904.16328143701,21947.48267791577,21774.39875076102,21859.689453125,634
2023-01-23,21859.688515025548,21943.680007927134,21688.528021544105,21906.232421875,2928
2023-01-24,21906.231747180926,22014.866782972786,21794.949415132727,21898.96484375,849
2023-01-25,21760.77683654575,21948.398332044366,21582.975532360695,21858.58203125,845
2023-01-27,21832.925403032485,21894.824755048114,21433.713878335624,21756.443359375,1854
2023-01-30,21568.246366668787,21986.95165151548,21443.293221005493,21927.5078125,1080
2023-01-31,21799.473268064037,22801.2586863635,21563.43145792774,22457.78515625,5519
2023-02-01,22457.788108265122,22563.775862388997,21707.83228987612,21799.716796875,2366
2023-02-02,21848.376062125924,22333.553253494953,21672.21053430741,22276.275390625,2473
2023-02-03,22284.4599437842,22284.4599437842,21989.69627256504,22173.224609375,971
2023-02-06,22237.289732049503,22323.110643999873,21659.69779095731,21767.900390625,1316
2023-02-07,21830.999865842557,22331.628402673097,21795.622361583646,22044.806640625,1490
2023-02-08,22044.808038640265,22622.351096802602,21900.74660551293,22254.42578125,19538
2023-02-09,22381.688417770616,23098.816215668427,22381.688417770616,22649.642578125,18960
2023-02-10,22747.49641216627,23073.83586556129,22451.961862926528,22545.67578125,2825
2023-02-13,22439.44751716826,22545.628923944838,21961.057731117708,22099.58203125,1279
2023-02-14,22140.06244726335,22140.06244726335,21419.997804863553,21540.666015625,3087
2023-02-15,21469.091946752924,21736.66065511414,20697.04407027118,20749.02734375,48590
