Date,Open,High,Low,Close,Volume
2023-01-02,4450.809534087607,4479.271901049962,4409.157573207108,4417.4384765625,246577
2023-01-03,4429.983693804409,4471.586264027442,4388.430999791692,4453.685546875,430096
2023-01-04,4457.751901062163,4476.693724563303,4388.331960444954,4396.56298828125,414977
2023-01-05,4418.579158276092,4418.579158276092,4319.903672640704,4392.34814453125,468816
2023-01-06,4405.240427354465,4437.223185321804,4332.7959553271285,4351.09326171875,299640
2023-01-09,4387.687714153825,4415.257155719454,4344.746229125574,4371.17578125,407803
2023-01-10,4373.456249489625,4451.801610875041,4369.489395748592,4429.63671875,557940
2023-01-11,4436.926030084063,4445.30620253407,4300.1189642733325,4324.4658203125,462687
2023-01-12,4334.73043206512,4346.0852614017285,4289.408930212992,4323.623046875,207917
2023-01-13,4328.829201620055,4333.787768861315,4232.682389117989,4299.623046875,366497
2023-01-16,4328.085363721872,4328.085363721872,4249.492073906908,4259.06201171875,210854
2023-01-17,4280.434010653047,4300.5162090667945,4239.575220680168,4287.02880859375,294500
2023-01-18,4301.061286624189,4315.936988560865,4269.326455825948,4303.837890625,331806
2023-01-19,4303.838176823924,4303.838176823924,4250.136986108492,4282.36767578125,162244
2023-01-20,4266.350945147964,4286.631677388769,4228.8643732151595,4249.73974609375,242706
2023-01-23,4258.814285039593,4317.424648738675,4251.376433916234,4299.5244140625,161350
2023-01-24,4313.903882741098,4313.903882741098,4255.243647950867,4269.326171875,178860
2023-01-25,4279.193561450396,4282.218093366571,4159.2456423296435,4189.34423828125,423714
2023-01-27,4192.964393658136,4249.839255873244,4157.361978269501,4208.98046875,421866
2023-01-30,4201.394710910828,4224.69998075773,4088.835216118339,4202.5849609375,623069
2023-01-31,4204.368323764241,4268.08590008264,4092.8499750974224,4220.63232421875,671038
2023-02-01,4239.575395820368,4315.937338622279,4176.601585847363,4227.32763671875,321331
2023-02-02,4226.682807699693,4226.682807699693,4135.4451684907835,4196.435546875,479256
2023-02-03,4209.823247267774,4224.500411420532,4123.544184249565,4216.36865234375,413966
2023-02-06,4176.105325539277,4299.72230986739,4154.932146597684,4284.896484375,257669
2023-02-07,4269.327094347598,4323.871342939728,4235.956028192355,4279.83935546875,319090
2023-02-08,4284.201270281811,4367.802504153731,4266.8956802529965,4354.86083984375,250175
2023-02-09,4311.326128519623,4367.953070780181,4289.161233161343,4352.92822265625,284239
2023-02-10,4349.05935680871,4388.628620157099,4314.20073157882,4379.65380859375,359807
2023-02-13,4393.686682103122,4402.810638519763,4292.135332993895,4322.53125,272935
2023-02-14,4344.151392512922,4344.151392512922,4215.823284199569,4233.47607421875,339582
2023-02-15,4135.445311443455,4476.594756799941,4135.445311443455,4450.7109375,2724361
2023-02-16,4472.578372312342,4629.3184930631705,4462.8592897335775,4604.67431640625,1419679
2023-02-17,4601.698776097022,4630.260412185243,4538.080459164444,4576.4599609375,408098
2023-02-20,4554.940276149062,4611.418555784041,4537.436629065315,4572.39453125,232327
2023-02-21,4572.790533782463,4601.550222674177,4453.784924575372,4464.7431640625,490637
2023-02-22,4467.669601483007,4498.363329953067,4403.208219885582,4412.23291015625,333978
2023-02-23,4434.298132420676,4480.858789416758,4364.530992778392,4411.19091796875,443522
