Date,Open,High,Low,Close,Volume
2023-01-02,7.050000190734863,7.150000095367432,7.0,7.050000190734863,468417
2023-01-03,7.099999904632568,7.099999904632568,7.0,7.050000190734863,236958
2023-01-04,7.0,7.099999904632568,6.949999809265137,7.0,482255
2023-01-05,7.0,7.050000190734863,6.900000095367432,6.949999809265137,268653
2023-01-06,7.0,7.050000190734863,6.900000095367432,6.949999809265137,362173
2023-01-09,7.0,7.0,6.849999904632568,6.900000095367432,247832
2023-01-10,6.900000095367432,6.949999809265137,6.849999904632568,6.849999904632568,290890
2023-01-11,6.900000095367432,6.900000095367432,6.75,6.800000190734863,256706
2023-01-12,6.800000190734863,6.900000095367432,6.699999809265137,6.800000190734863,341281
2023-01-13,6.849999904632568,6.900000095367432,6.75,6.800000190734863,228030
2023-01-16,6.800000190734863,6.849999904632568,6.650000095367432,6.699999809265137,404131
2023-01-17,6.699999809265137,6.699999809265137,6.599999904632568,6.599999904632568,333727
2023-01-18,6.599999904632568,6.800000190734863,6.599999904632568,6.75,520494
2023-01-19,6.75,6.900000095367432,6.650000095367432,6.699999809265137,326771
2023-01-20,6.699999809265137,6.75,6.550000190734863,6.550000190734863,365503
2023-01-23,6.599999904632568,6.650000095367432,6.5,6.550000190734863,295344
2023-01-24,6.550000190734863,6.599999904632568,6.5,6.5,202600
2023-01-25,6.5,6.550000190734863,6.349999904632568,6.349999904632568,342213
2023-01-27,6.349999904632568,6.650000095367432,6.199999809265137,6.300000190734863,668758
2023-01-30,6.349999904632568,6.449999809265137,6.300000190734863,6.349999904632568,329068
2023-01-31,6.400000095367432,6.599999904632568,6.300000190734863,6.400000095367432,545596
2023-02-01,6.449999809265137,6.699999809265137,6.400000095367432,6.550000190734863,728266
2023-02-02,6.599999904632568,6.650000095367432,6.400000095367432,6.400000095367432,273479
2023-02-03,6.449999809265137,6.449999809265137,6.150000095367432,6.25,364872
2023-02-06,6.25,6.400000095367432,6.199999809265137,6.300000190734863,469366
2023-02-07,6.400000095367432,6.400000095367432,6.199999809265137,6.25,566124
2023-02-08,6.300000190734863,6.400000095367432,6.25,6.300000190734863,403148
2023-02-09,6.099999904632568,6.099999904632568,5.699999809265137,5.900000095367432,2832763
2023-02-10,5.75,6.050000190734863,5.75,6.0,721900
2023-02-13,5.800000190734863,5.949999809265137,5.699999809265137,5.699999809265137,1493643
